{7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7},
{7,0,0,2,2,2,2,2,2,8,8,3,3,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,5,6,7},
{7,0,0,0,2,2,2,2,2,2,8,3,3,4,4,5,4,4,4,5,4,5,4,5,4,5,5,5,4,5,5,5,6,7},
{7,0,7,2,2,8,2,2,2,8,2,2,2,2,2,8,3,8,8,3,8,3,3,3,3,8,8,6,0,0,0,0,6,7},
{7,0,7,7,7,3,2,2,2,8,2,2,2,2,2,8,3,8,3,3,8,3,3,3,3,8,6,6,0,0,0,0,6,7},
{7,0,0,0,7,3,2,8,2,2,2,2,2,2,2,8,3,3,3,3,8,8,3,8,8,8,6,6,7,7,7,7,6,7},
{7,0,7,0,7,3,7,0,7,3,2,2,2,2,2,8,8,3,8,3,8,3,3,8,8,6,6,6,7,6,7,6,6,7},
{7,0,0,0,7,3,0,0,7,3,3,2,2,2,2,0,8,3,8,3,3,3,3,8,6,6,6,6,7,6,7,6,7,7},
{7,0,7,0,7,7,7,0,7,7,3,3,3,2,2,0,7,7,7,7,7,7,0,8,6,6,7,6,7,6,6,6,6,7},
{7,0,7,0,0,0,0,0,0,7,7,7,7,7,7,0,7,0,0,0,0,7,0,8,6,7,7,6,7,7,7,7,6,7},
{7,0,7,0,7,0,0,0,0,0,0,0,7,0,7,0,7,0,0,7,0,7,0,8,6,7,6,6,6,6,7,6,6,7},
{7,7,7,7,7,7,7,7,0,7,0,0,7,0,7,0,0,0,0,7,0,0,0,8,7,7,6,6,7,7,7,6,6,7},
{7,0,0,0,0,0,0,7,0,7,0,7,7,0,0,0,0,4,0,7,0,7,7,8,6,6,6,6,6,7,6,6,6,7},
{7,0,0,0,7,0,0,7,0,7,0,7,3,3,3,7,0,4,0,7,0,7,0,7,6,6,7,6,6,7,6,7,7,7},
{7,0,7,0,0,0,0,7,0,0,0,7,3,3,3,7,0,0,0,7,0,0,0,7,6,6,7,6,6,7,6,7,6,7},
{7,0,7,7,7,0,7,7,7,7,0,7,3,3,3,7,0,0,7,7,7,7,0,7,6,7,7,6,7,7,6,6,6,7},
{7,0,7,0,7,0,7,0,0,7,0,7,3,3,3,7,0,0,0,0,0,7,0,7,6,6,6,6,6,7,7,7,6,7},
{7,0,7,0,0,0,0,0,0,0,0,7,7,7,7,7,0,7,0,0,0,7,0,7,7,7,6,6,6,6,6,7,6,7},
{7,0,7,7,0,0,7,0,7,7,0,7,7,7,7,7,0,7,0,0,0,7,0,7,6,7,6,7,6,6,6,7,6,7},
{7,0,0,7,7,0,7,0,7,0,0,0,7,0,0,0,0,0,7,7,0,7,0,7,6,7,6,7,6,7,7,7,6,7},
{7,7,0,0,7,0,0,0,7,0,7,0,7,0,7,0,0,0,7,0,0,0,0,7,6,7,6,7,6,7,6,6,6,7},
{7,7,0,0,7,7,7,0,7,0,7,0,0,0,7,0,7,0,7,0,7,7,7,7,6,6,6,7,7,7,6,7,7,7},
{7,0,0,0,7,0,7,0,7,0,7,0,7,0,4,0,7,0,0,0,7,6,6,6,6,7,6,7,6,6,6,7,6,7},
{7,0,0,0,7,0,7,7,7,0,7,0,7,0,0,0,7,0,0,7,7,6,6,6,6,7,6,7,6,7,6,7,6,7},
{7,0,7,0,7,0,0,0,0,0,7,0,7,0,4,0,7,0,0,7,6,6,6,7,6,6,6,6,6,7,6,6,6,7},
{7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,7,7,7,7,7,7,7,7,7,7,7,7}
